source_id,n_ra,n_parallax,n_pmra,n_pmdec,n_phot_g_mean_flux,n_phot_g_mean_mag,n_phot_bp_mean_flux,n_phot_bp_mean_mag,n_phot_rp_mean_flux,n_phot_rp_mean_mag,n_bp_rp,n_bp_g,n_g_rp,teff_gspphot,logg_gspphot,mh_gspphot
19576426575601100,0.781,0.612,0.385,0.403,0.023,0.9,0.031,0.795,0.066,0.696,0.719,0.726,0.847,3262.3335,4.6217,-0.7835
101335527101331008,0.374,0.42,0.233,0.448,0.081,0.726,0.109,0.567,0.111,0.589,0.6,0.554,0.771,4063.911,4.3836,0.2174
88203372536571904,0.818,0.401,0.31,0.284,0.224,0.481,0.278,0.344,0.229,0.413,0.545,0.488,0.721,3680.9866,4.3085,-1.7106
86295689797958592,0.839,0.04,0.044,0.52,0.031,0.868,0.135,0.519,0.026,0.841,0.334,0.273,0.476,4924.5938,4.8354,-1.729
82556697428173600,0.509,0.855,0.236,0.635,0.29,0.407,0.218,0.404,0.345,0.304,0.697,0.699,0.827,3789.2454,4.7283,-0.162
87407497916239296,0.627,0.043,0.033,0.438,0.156,0.578,0.378,0.264,0.101,0.609,0.299,0.211,0.468,5482.8096,4.7457,-1.6547
106863115652264000,0.116,0.107,0.223,0.426,0.002,0.99,0.042,0.751,0.024,0.851,0.542,0.523,0.669,3753.1106,5.0758,-1.3145
86275310177262496,0.947,0.353,0.442,0.646,0.135,0.612,0.179,0.453,0.149,0.521,0.553,0.504,0.719,3740.5735,4.4435,-1.3857
87429625588121600,0.551,0.068,0.072,0.467,0.078,0.731,0.17,0.465,0.074,0.676,0.428,0.362,0.593,4410.026,4.7251,-0.7939
26297775516339800,0.588,0.043,0.175,0.531,0.061,0.777,0.203,0.422,0.038,0.791,0.287,0.222,0.423,5582.657,4.7504,-1.7514
89849551896876608,0.94,0.12,0.113,0.556,0.253,0.446,0.471,0.206,0.187,0.465,0.371,0.288,0.547,4856.4043,4.8153,-1.5421
72813473922895696,0.337,0.101,0.541,0.172,0.094,0.695,0.24,0.38,0.066,0.698,0.33,0.259,0.482,5227.4956,4.7462,-1.9803
76518729324240496,0.294,0.151,0.141,0.627,0.03,0.872,0.105,0.576,0.038,0.792,0.43,0.369,0.588,4359.352,4.9245,-1.8293
85692946972224000,0.334,0.286,0.158,0.491,0.033,0.862,0.07,0.66,0.058,0.72,0.571,0.534,0.726,3542.143,4.6095,-1.228
106603596547723008,0.318,0.209,0.271,0.408,0.269,0.429,0.467,0.208,0.203,0.444,0.391,0.315,0.562,4607.203,4.4,-1.3272
102280729144348000,0.477,0.462,0.518,0.545,0.182,0.537,0.185,0.445,0.206,0.44,0.616,0.592,0.763,3700.49,4.4616,-1.098
102039764299392992,0.911,0.151,0.048,0.424,0.001,0.997,0.063,0.68,0.023,0.856,0.471,0.385,0.67,4157.9688,5.0275,-1.6702
88223232464896992,0.97,0.975,0.209,0.538,0.002,0.988,0.017,0.867,0.049,0.75,0.74,0.734,0.886,3171.7566,5.0102,-0.1567
87576753987590000,0.337,0.088,0.174,0.55,0.023,0.898,0.116,0.554,0.022,0.864,0.346,0.293,0.479,5031.4155,4.7938,-1.742
26136834501255400,0.83,0.316,0.23,0.85,0.174,0.549,0.267,0.354,0.165,0.495,0.483,0.413,0.664,4024.1914,4.7737,-0.5977
103060630781447008,0.448,0.11,0.151,0.572,0.133,0.617,0.293,0.33,0.101,0.61,0.359,0.276,0.534,4888.9185,4.8345,-1.7316
79406317441372400,0.07,0.239,0.118,0.943,0.044,0.825,0.113,0.56,0.049,0.752,0.45,0.404,0.593,4205.3643,4.9153,-1.365
106881532472118000,0.13,0.122,0.088,0.592,0.001,0.994,0.072,0.655,0.011,0.921,0.39,0.344,0.523,4555.494,4.8689,-1.5425
86887703794611392,0.352,0.216,0.11,0.457,0.105,0.672,0.183,0.447,0.102,0.608,0.471,0.412,0.636,4077.236,4.6961,-1.748
86151099723092608,0.697,0.076,0.081,0.65,0.017,0.922,0.08,0.633,0.037,0.797,0.479,0.404,0.666,4034.4153,4.9179,-1.6036
82620228584599200,0.759,0.099,0.106,0.584,0.231,0.472,0.41,0.242,0.181,0.472,0.398,0.318,0.577,4779.593,4.7633,-2.4397
102588970357283008,0.047,0.386,0.258,0.107,0.019,0.915,0.049,0.725,0.049,0.751,0.605,0.58,0.752,3445.35,4.6228,-1.0898
23598508829450100,0.625,0.593,0.194,0.024,0.03,0.874,0.027,0.817,0.081,0.657,0.775,0.801,0.886,3321.8586,4.8774,0.0057
24598789533017700,0.194,0.292,0.312,0.235,0.017,0.924,0.039,0.764,0.056,0.728,0.662,0.637,0.82,3552.8757,4.34,-0.2432
99791851431352496,0.268,0.165,0.011,0.413,0.066,0.761,0.148,0.498,0.079,0.663,0.47,0.38,0.674,3934.058,4.519,-1.7758
101963902292246000,0.835,0.198,0.045,0.808,0.099,0.683,0.199,0.428,0.094,0.625,0.438,0.361,0.618,4296.3984,4.7999,-0.8252
86301045621403104,0.934,0.216,0.162,0.775,0.004,0.979,0.043,0.745,0.032,0.817,0.566,0.526,0.724,3575.377,4.9124,-1.1469
22731853148946000,0.511,0.267,0.424,0.385,0.042,0.831,0.091,0.605,0.067,0.694,0.544,0.478,0.73,3581.105,4.6095,-1.077
87266554269412704,0.436,0.193,0.184,0.15,0.091,0.701,0.16,0.48,0.1,0.612,0.498,0.431,0.678,3923.9895,4.8405,-0.7813
26969478336886000,0.972,0.304,0.289,0.235,0.592,0.181,0.788,0.067,0.489,0.207,0.467,0.401,0.639,4462.406,4.4913,-0.1019
88239244103568192,0.889,0.045,0.203,0.416,0.141,0.602,0.329,0.3,0.096,0.62,0.323,0.243,0.486,5274.7754,4.7545,-1.9586
87539954707632704,0.209,0.074,0.015,0.65,0.232,0.471,0.438,0.225,0.168,0.491,0.366,0.287,0.536,4904.3325,4.8417,-1.9594
102446583601834000,0.714,0.037,0.135,0.532,0.253,0.446,0.482,0.2,0.181,0.473,0.358,0.277,0.529,5120.914,4.8043,-2.6307
25154730099893200,0.829,0.238,0.066,0.701,0.03,0.873,0.078,0.639,0.05,0.746,0.53,0.481,0.692,3819.9565,4.8783,-0.7618
89801547047334208,0.984,0.442,0.394,0.606,0.072,0.748,0.094,0.598,0.106,0.6,0.62,0.58,0.786,3554.6863,4.5852,-1.3621
86424603240533104,0.648,0.251,0.152,0.292,0.023,0.9,0.055,0.705,0.056,0.727,0.608,0.563,0.78,3332.436,4.6098,-1.0959
75214326281232496,0.6,0.269,0.181,0.558,0.118,0.646,0.205,0.42,0.115,0.582,0.468,0.398,0.646,4051.7546,4.814,-0.8376
102896146418198000,0.085,0.064,0.148,0.526,0.092,0.699,0.254,0.366,0.076,0.67,0.34,0.229,0.548,4833.5913,4.7677,-1.0506
99649602114408496,0.048,0.319,0.6,0.37,0.237,0.465,0.299,0.325,0.234,0.407,0.533,0.476,0.706,3965.8972,4.7139,-0.2285
101373632053164000,0.488,0.269,0.153,0.519,0.01,0.952,0.091,0.607,0.026,0.842,0.415,0.315,0.621,4371.5527,5.0537,-2.0805
103014378278688992,0.055,0.095,0.057,0.644,0.239,0.463,0.504,0.188,0.154,0.512,0.313,0.232,0.476,5436.27,4.6793,-1.2206
106402901315868992,0.031,0.128,0.064,0.544,0.438,0.279,0.794,0.065,0.301,0.34,0.348,0.263,0.523,5054.413,4.4687,-0.7466
86905158541804992,0.3,0.354,0.189,0.5,0.051,0.804,0.051,0.716,0.107,0.597,0.732,0.715,0.892,3600.2158,4.3497,-0.4717
86705425382183104,0.114,0.023,0.1,0.345,0.014,0.934,0.08,0.633,0.029,0.828,0.452,0.387,0.62,4276.183,4.9561,-1.621
82205712700774096,0.769,0.06,0.045,0.667,0.057,0.786,0.171,0.463,0.046,0.761,0.352,0.284,0.505,4950.3877,4.8444,-2.0174
101410912367486000,0.361,0.253,0.406,0.72,0.561,0.199,0.908,0.028,0.409,0.257,0.387,0.306,0.563,4607.9644,4.5658,-1.3486
85661301653078704,0.249,0.105,0.074,0.593,0.034,0.86,0.145,0.502,0.032,0.815,0.341,0.252,0.518,4948.5483,4.8554,-2.104
25976202724417000,0.692,0.269,0.311,0.382,0.161,0.569,0.262,0.358,0.15,0.519,0.466,0.393,0.648,4042.441,4.4341,-1.9083
26823415088992300,0.886,0.114,0.154,0.469,0.235,0.467,0.483,0.199,0.157,0.507,0.327,0.246,0.494,5221.8105,4.6967,-0.9684
101430841016536000,0.326,0.148,0.115,0.33,0.167,0.56,0.262,0.359,0.156,0.509,0.475,0.406,0.653,4030.9263,4.5622,-1.3468
19992145049991100,0.92,0.399,1.0,0.521,0.283,0.413,0.377,0.265,0.258,0.382,0.499,0.438,0.67,4317.9727,4.5034,-0.0619
